protein, probability of being in a group of size from 1 to 3 with acc higher or equal to 0.888888888889
P00924_ENO1,0.0
O95336_PGLS,0.0
P06396_GSN,0.0
P14618_PKM2,0.0
P60174_TPI1,0.0
P08603_CFH,0.0
P02675_FGB,0.0
Q99879_HIST1H2BM,0.0
O43707_ACTN4,0.0
P21333_FLNA,0.0
B4E1Z4_CFB,0.0
P01023_A2M,0.0
P08670_VIM,0.0
P01624,0.0
Q8TAX7_MUC7,0.0
P05386_RPLP1,0.0
P05109_S100A8,0.0
P04217_A1BG,0.0
O15145_ARPC3,0.0
P02647_APOA1,0.0
P04004_VTN,0.0
P24158_PRTN3,0.0
P01763,0.0
A0A075B6R9,0.0
P30044_PRDX5,0.0
A0A0A0MTS2_GPI,0.0
P63261_ACTG1,0.0
P06702_S100A9,0.0
P62328_TMSB4X,0.0
P62937_PPIA,0.0
P68371_TUBB4B,0.0
P15153_RAC2,0.0
E9PK25_CFL1,0.0
CON__P02538_KRT6A,0.0
Q9BRF8_CPPED1,0.0
P20618_PSMB1,0.0
P31946_2,0.0
P09382_LGALS1,0.0
P61160_2_ACTR2,0.0
P00330_ADH1,0.0
P52209_PGD,0.0
O00391_QSOX1,0.0
P55786_NPEPPS,0.0
P01009_SERPINA1,0.0
P04196_HRG,0.0
O15511_2_ARPC5,0.0
P01861_IGHG4,0.0
P06454_PTMA,0.0
P09429_HMGB1,0.0
P10412_HIST1H1E,0.0
P06870_KLK1,0.0
P23381_WARS,0.0
P02671_FGA,0.0
Q9UGM3_6_DMBT1,0.0
P01859_IGHG2,0.0
P16403_HIST1H1C,0.0
P01008_SERPINC1,0.0
P23280_CA6,0.0
A0A087WV23_SH3BGRL3,0.0
P02769_BSA,0.0
