*N,acc_tree,groups
2,0.833333333333,A0A024R6X1_CES2,P22079_LPO
2,0.833333333333,P62258_YWHAE,CON__P00761
2,0.833333333333,B7Z6Z4_MYL6,P22079_LPO
2,0.833333333333,CON__P00761,P01008_SERPINC1
2,0.888888888889,CON__P00761,P01009_SERPINA1
2,0.833333333333,CON__P00761,P02675_FGB
2,0.833333333333,CON__P00761,P04080_CSTB
2,0.833333333333,CON__P00761,P05386_RPLP1
2,0.833333333333,CON__P00761,P07339_CTSD
2,0.833333333333,CON__P00761,P22314_UBA1
2,0.833333333333,CON__P00761,Q08188_TGM3
2,0.944444444444,CON__P00761,Q99879_HIST1H2BM
2,0.888888888889,CON__P35527_KRT9,Q9NZL9_MAT2B
2,0.833333333333,P02675_FGB,P02760_AMBP
2,0.833333333333,P05386_RPLP1,P14174_MIF
2,0.833333333333,P07339_CTSD,P16403_HIST1H1C
