"","rank","freq","gene","avg_cv_acc_after_svm-rfe"
"1",1,15,"P00330_ADH1",0.813333333333333
"2",2,13,"CON__P00761",0.9
"3",3,13,"P05386_RPLP1",0.893333333333333
"4",4,13,"P02769_BSA",0.933333333333333
"5",5,13,"P00489_GPB",0.893333333333333
"6",6,11,"A0A087WVW2_IGHG3",0.9
"7",7,10,"P01859_IGHG2",0.9
"8",8,9,"P00924_ENO1",0.826666666666667
"9",9,8,"P01008_SERPINC1",0.786666666666667
"10",10,8,"P09228_CST2",0.813333333333333
"11",11,8,"Q99879_HIST1H2BM",0.786666666666667
"12",12,7,"Q9NQ38-3_SPINK5",0.966666666666667
"13",13,7,"D6RF35_GC",0.82
"14",14,7,"P01024_C3",0.716666666666667
"15",15,7,"P07339_CTSD",0.813333333333333
"16",16,7,"P00738_HP",0.716666666666667
"17",17,7,"P01037_CST1",0.813333333333333
"18",18,7,"P01023_A2M",0.813333333333333
"19",19,7,"P02787_TF",0.78
"20",20,7,"Q9NZL9_MAT2B",0.65
"21",21,6,"B7Z6Z4_MYL6",0.746666666666667
"22",22,6,"P01036_CST4",0.68
