"","rank","freq","gene","avg_cv_acc_after_svm-rfe"
"1",1,15,"P00330_ADH1",0.82
"2",2,6,"CON__P00761",0.9
"3",3,3,"P05386_RPLP1",0.85
"4",4,3,"P02769_BSA",0.9
"5",5,3,"P00489_GPB",0.886666666666667
"6",6,2,"A0A087WVW2_IGHG3",0.886666666666667
"7",7,1,"P01024_C3",0.853333333333333
"8",8,1,"P01008_SERPINC1",0.813333333333333
"9",9,0,"Q9NQ38-3_SPINK5",0.86
"10",10,0,"D6RF35_GC",0.82
"11",11,0,"B7Z6Z4_MYL6",0.853333333333333
"12",12,0,"P07339_CTSD",0.826666666666667
"13",13,0,"P01859_IGHG2",0.786666666666667
"14",14,0,"P09228_CST2",0.786666666666667
"15",15,0,"P00738_HP",0.8
"16",16,0,"P01037_CST1",0.773333333333333
"17",17,0,"P01023_A2M",0.826666666666667
"18",18,0,"Q99879_HIST1H2BM",0.82
"19",19,0,"P02787_TF",0.753333333333333
"20",20,0,"Q9NZL9_MAT2B",0.82
"21",21,0,"P01036_CST4",0.706666666666667
"22",22,0,"P00924_ENO1",0.78
